Code;Name;Modellarten;Status
60801;Buchung des Grundstücks auf ein neues Buchungsblatt (1);DLKM;Gültig
60802;Buchung des Grundstücks auf ein bestehendes Buchungsblatt der Miteigentümer;DLKM;Gültig
60900;Aufhebung eines Wohnungseigentums;DLKM;Gültig
60901;Buchung des Grundstücks auf ein neues Buchungsblatt (2);DLKM;Gültig
60902;Buchung des Grundstücks auf ein bestehendes Buchungsblatt;DLKM;Gültig
61000;Umschreibung des Grundbuchs (§§ 28 ff, 68 GBV);DLKM;Gültig
61100;Neufassung des Grundbuchs (§§ 33, 69 GBV);DLKM;Gültig
61200;Erstbuchung eines Grundstücks;DLKM;Gültig
61300;Ausbuchung eines Grundstücks nach § 3 (3) GBO;DLKM;Veraltet
61300;Ausbuchung eines Grundstücks nach § 3 Abs. 3 GBO;DLKM;Gültig
61400;Aufhebung von Anteilen am ungetrennten Hofraum;DLKM;Gültig
62000;Grundbuchblatt schließen;DLKM;Gültig
70000;Rechte buchen;DLKM;Gültig
70100;Erbbaurecht anlegen;DLKM;Gültig
70200;Erbbaurecht aufheben;DLKM;Gültig
70300;Herrschvermerk buchen;DLKM;Gültig
70400;Herrschvermerk aufheben;DLKM;Gültig
70500;Untererbbaurecht anlegen;DLKM;Gültig
70600;Untererbbaurecht aufheben;DLKM;Gültig
70700;Sonstige Rechte anlegen;DLKM;Gültig
70800;Sonstige Rechte aufheben;DLKM;Gültig
70900;Wohnungserbbaurecht aufheben;DLKM;Gültig
71000;Wohnungsuntererbbaurecht aufheben;DLKM;Gültig
71100;Teilung Herrschvermerk aufheben;DLKM;Gültig
71200;Teilung sonstiges Recht aufheben;DLKM;Gültig
80000;Anteile buchen;DLKM;Gültig
80100;Buchung nach § 3 Abs.4 GBO;DLKM;Veraltet
80100;Buchung nach § 3 Abs. 4 GBO;DLKM;Gültig
80200;Anlegen von Wohnungseigentum;DLKM;Gültig
80300;Anlegen von Wohnungserbbaurecht;DLKM;Gültig
80400;Anlegen von Wohnungsuntererbbaurecht;DLKM;Gültig
80500;Teilung eines Herrschvermerks;DLKM;Gültig
80600;Teilung eines sonstigen Rechts;DLKM;Gültig
80650;Auflösung ungetrennter Hofräume;DLKM;Gültig
80700;Teilung am ungetrennten Hofraum aufheben;DLKM;Gültig
80800;Teilung einer Buchung § 3 Abs. 4 GBO nach Wohnungseigentumsgesetz;DLKM;Gültig
80900;Teilung eines Anteils am ungetrennten Hofraum nach Wohnungseigentumsgesetz;DLKM;Gültig
